service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"4","0","0","0","0","1","0","0","20211212","20220430"
"y1001","1","1","1","1","1","0","0","20211212","20220430"
"y1002","1","0","0","0","0","0","1","20211212","20220430"
"y1002#1","0","0","0","0","0","1","0","20211208","20211211"
"y1003","0","0","0","0","0","1","0","20211212","20220430"
"y1003#1","0","0","1","1","1","0","0","20211208","20211211"
"1","0","0","0","0","0","0","1","20211203","20211211"
"10","1","0","0","0","0","0","0","20211212","20220625"
"10801","1","0","0","0","0","0","0","20211212","20220528"
"10804","0","0","0","1","0","0","0","20211212","20220528"
"10806","0","0","0","0","0","1","0","20211212","20220528"
"10807","0","0","0","0","0","0","1","20211203","20211211"
"10807#1","0","0","0","0","0","0","1","20211212","20220528"
"10811","1","0","0","0","0","0","0","20211203","20211211"
"10811#1","1","0","0","0","0","0","0","20211212","20220528"
"10812","0","1","0","0","0","0","0","20211203","20211211"
"10812#1","0","1","0","0","0","0","0","20211212","20220528"
"10823","0","0","1","0","0","0","0","20211203","20211211"
"10823#1","0","0","1","0","0","0","0","20211212","20220528"
"10834","0","0","0","1","0","0","0","20211203","20211211"
"10834#1","0","0","0","1","0","0","0","20211212","20220528"
"10845","0","0","0","0","1","0","0","20211203","20211211"
"10845#1","0","0","0","0","1","0","0","20211212","20220528"
"10856","0","0","0","0","0","1","0","20211203","20211211"
"10856#1","0","0","0","0","0","1","0","20211212","20220528"
"10864","0","0","0","1","0","0","0","20211212","20220528"
"10875","0","0","0","0","1","0","0","20211212","20220528"
"10891","1","0","0","0","0","0","0","20211212","20220528"
"10892","0","1","0","0","0","0","0","20211212","20220528"
"10903","0","0","1","0","0","0","0","20211212","20220528"
"11","0","1","0","0","0","0","0","20211212","20220625"
"11085","0","0","0","0","1","0","0","20211212","20220528"
"11097","0","0","0","0","0","0","1","20211212","20220528"
"11101","1","0","0","0","0","0","0","20211212","20220528"
"11102","0","1","0","0","0","0","0","20211212","20220528"
"11103","0","0","1","0","0","0","0","20211212","20220528"
"11104","0","0","0","1","0","0","0","20211212","20220528"
"11105","0","0","0","0","1","0","0","20211212","20220528"
"12","0","0","1","0","0","0","0","20211212","20220625"
"13","0","0","0","1","0","0","0","20211212","20220625"
"14","0","0","0","0","1","0","0","20211212","20220625"
"15","0","0","0","0","0","1","0","20211212","20220625"
"16","1","0","0","0","0","0","0","20211212","20220625"
"17","0","0","0","1","0","0","0","20211212","20220625"
"2","1","0","0","0","0","0","0","20211203","20211211"
"3","0","1","0","0","0","0","0","20211203","20211211"
"4","0","0","1","0","0","0","0","20211203","20211211"
"5","0","0","0","1","0","0","0","20211203","20211211"
"6","0","0","0","0","1","0","0","20211203","20211211"
"7","0","0","0","0","0","1","0","20211203","20211211"
"Mo-Fr","1","1","1","1","1","0","0","20211203","20220630"
"Sat","0","0","0","0","0","1","0","20211203","20220630"
"Sun","0","0","0","0","0","0","1","20211203","20220630"
"y1001","0","0","0","0","0","0","1","20211212","20220625"
"y1002","0","0","0","0","1","0","0","20211212","20220625"
"y1003","1","0","0","0","0","0","0","20211212","20220625"
"y1004","0","0","0","1","0","0","0","20211212","20220625"
"y1005","0","0","1","0","0","0","0","20211212","20220625"
"y1006","0","0","0","0","1","0","0","20211212","20220625"
"y1007","0","1","0","0","0","0","0","20211212","20220625"
"y1008","0","0","0","0","0","1","0","20211212","20220625"
"y1009","0","0","0","0","0","0","1","20211212","20220625"
"TA+b0001","1","1","1","1","0","1","0","20211008","20221003"
"TA+b0009","1","1","1","1","1","1","0","20211008","20221003"
"TA+b000g","1","1","1","1","1","0","0","20211008","20221003"
"TA+b000h","0","0","0","0","1","0","0","20211008","20221003"
"TA+b0013","1","1","1","1","1","1","0","20211008","20221003"
"TA+b0017","1","1","1","1","1","1","0","20211008","20221003"
"TA+b001e","1","1","1","1","1","1","0","20211008","20221003"
"TA+b001f","1","1","1","1","1","0","0","20211008","20221003"
"TA+b001l","1","1","1","1","1","1","0","20211008","20221003"
"TA+b001t","1","1","1","1","0","0","0","20211008","20221003"
"TA+b001u","1","1","1","1","1","0","0","20211008","20221003"
"TA+b0020","1","1","1","1","1","1","0","20211008","20221003"
"TA+b0021","1","1","1","1","1","1","0","20211008","20221003"
"TA+b0024","0","0","0","0","0","1","0","20211008","20221003"
"TA+b0025","0","0","0","0","1","0","0","20211008","20221003"
"TA+b0026","1","0","0","0","0","0","0","20211008","20221003"
"TA+b0027","0","1","1","1","1","0","0","20211008","20221003"
"TA+b0028","0","0","0","0","1","0","0","20211008","20221003"
"TA+b0029","1","1","1","1","0","1","0","20211008","20221003"
"TA+b002a","0","1","1","1","0","0","0","20211008","20221003"
"TA+b002b","0","0","1","1","1","0","0","20211008","20221003"
"TA+b002c","0","0","0","0","0","1","0","20211008","20221003"
"TA+b002d","1","0","0","0","0","0","0","20211008","20221003"
"TA+b002e","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002f","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002g","1","1","1","1","1","0","0","20211008","20221003"
"TA+b002h","1","1","1","1","1","0","0","20211008","20221003"
"TA+b002i","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002j","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002k","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002l","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002m","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002n","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002o","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002p","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002q","1","1","1","1","1","1","0","20211008","20221003"
"TA+b002r","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002s","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002t","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002u","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002v","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002w","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002x","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002y","0","0","0","0","0","0","1","20211008","20221003"
"TA+b002z","0","0","0","0","0","0","1","20211008","20221003"
"TA+b0030","0","0","0","0","0","0","1","20211008","20221003"
"TA+b0031","1","1","1","1","0","0","0","20211008","20221003"
"TA+b0032","1","1","1","0","0","1","0","20211008","20221003"
"TA+b0033","1","1","1","1","0","0","0","20211008","20221003"
"TA+b0034","0","0","0","0","0","1","0","20211008","20221003"
"TA+b0035","0","0","0","0","0","1","0","20211008","20221003"
"TA+b0036","0","0","0","1","0","0","0","20211008","20221003"
"TA+b0037","0","0","0","0","1","0","0","20211008","20221003"
"TA+b0038","0","0","0","0","0","1","0","20211008","20221003"
"TA+b0039","0","0","0","0","0","1","0","20211008","20221003"
"TA+b003a","0","0","0","0","0","1","0","20211008","20221003"
"TA+b003b","0","0","0","0","0","1","0","20211008","20221003"
"TA+b003c","0","0","0","0","0","1","0","20211008","20221003"
"TA+b003d","0","0","0","0","0","1","0","20211008","20221003"
"TA+b003e","0","0","0","0","0","1","0","20211008","20221003"
"TA+b003f","1","0","0","0","0","0","0","20211008","20221003"
"TA+b003g","1","0","0","0","0","0","0","20211008","20221003"
"TA+b003h","1","0","0","0","0","0","0","20211008","20221003"
"TA+b003i","1","0","0","0","0","0","0","20211008","20221003"
"TA+b003j","1","0","0","0","0","0","0","20211008","20221003"
"TA+b008a","1","1","1","1","1","1","0","20211008","20221003"
"TA+b008b","1","1","1","1","1","1","0","20211008","20221003"
"TA+b008c","1","1","1","1","1","1","0","20211008","20221003"
"TA+b008d","1","1","1","1","1","0","0","20211008","20221003"
"TA+b008e","1","1","1","1","1","0","0","20211008","20221003"
"TA+b008f","0","0","0","0","0","1","0","20211008","20221003"
"TA+b008g","0","0","0","0","0","1","0","20211008","20221003"
"TA+b008h","0","0","0","0","0","0","1","20211008","20221003"
"TA+b008i","0","0","0","0","0","0","1","20211008","20221003"
"TA+b008o","1","1","1","1","1","1","0","20211008","20221003"
"TA+b008r","1","1","1","1","1","0","0","20211008","20221003"
"TA+b008s","1","1","1","1","1","0","0","20211008","20221003"
"TA+b008y","1","1","1","1","1","1","0","20211008","20221003"
"TA+b008z","1","1","1","1","0","1","0","20211008","20221003"
"TA+b0096","1","1","1","1","0","1","0","20211008","20221003"
"TA+b0098","1","1","1","1","1","0","0","20211008","20221003"
"TA+b0099","1","1","1","1","1","0","0","20211008","20221003"
"TA+b009e","1","1","1","1","1","0","0","20211008","20221003"
"TA+b009j","1","1","1","1","0","0","0","20211008","20221003"
"TA+b009p","1","1","1","1","0","0","0","20211008","20221003"
"TA+b009q","1","1","1","1","1","0","0","20211008","20221003"
"TA+b009r","1","1","1","1","1","0","0","20211008","20221003"
"TA+b009z","1","1","1","1","1","0","0","20211008","20221003"
"TA+b00a0","1","1","1","1","1","0","0","20211008","20221003"
"TA+b00a4","1","1","1","1","1","0","0","20211008","20221003"
"TA+b00a5","1","1","1","1","1","0","0","20211008","20221003"
"TA+b00al","0","0","0","0","0","0","1","20211008","20221003"
"TA+b00an","0","0","0","0","0","0","1","20211008","20221003"
"TA+b00ap","0","0","0","0","0","0","1","20211008","20221003"
"TA+b00aq","0","0","0","0","0","0","1","20211008","20221003"
"TA+b00at","1","1","1","1","1","1","0","20211008","20221003"
"TA+b00aw","1","1","1","1","1","1","0","20211008","20221003"
"TA+b00b1","1","1","1","1","1","0","0","20211008","20221003"
"TA+b00b4","1","0","0","0","0","0","0","20211008","20221003"
"TA+b00b7","0","1","1","1","1","0","0","20211008","20221003"
"TA+b00b9","1","1","1","1","1","0","0","20211008","20221003"
"TA+b00ba","1","1","1","1","1","1","0","20211008","20221003"
